character_name,character_link
Homeless Man,https://breakingbad.fandom.com/wiki/Homeless_Man
Ira,https://breakingbad.fandom.com/wiki/Ira
Irving,https://breakingbad.fandom.com/wiki/Irving
J. P. Wynne Teacher,https://breakingbad.fandom.com/wiki/J._P._Wynne_Teacher
Jack's Henchmen,https://breakingbad.fandom.com/wiki/Jack%27s_Henchmen
Janice,https://breakingbad.fandom.com/wiki/Janice
Blue Sky Crew,https://breakingbad.fandom.com/wiki/Blue_Sky_Crew
Jill,https://breakingbad.fandom.com/wiki/Jill
Jimmy (security guard),https://breakingbad.fandom.com/wiki/Jimmy_(security_guard)
Jock,https://breakingbad.fandom.com/wiki/Jock
John,https://breakingbad.fandom.com/wiki/John
Kalanchoe,https://breakingbad.fandom.com/wiki/Kalanchoe
Andrew Kaufman,https://breakingbad.fandom.com/wiki/Andrew_Kaufman
Bobby Kee,https://breakingbad.fandom.com/wiki/Bobby_Kee
Ken,https://breakingbad.fandom.com/wiki/Ken
Kenny,https://breakingbad.fandom.com/wiki/Kenny
Ma Kettle,https://breakingbad.fandom.com/wiki/Ma_Kettle
Pa Kettle,https://breakingbad.fandom.com/wiki/Pa_Kettle
Michael Kilbourne,https://breakingbad.fandom.com/wiki/Michael_Kilbourne
James Kilkelly,https://breakingbad.fandom.com/wiki/James_Kilkelly
Tyrus Kitt,https://breakingbad.fandom.com/wiki/Tyrus_Kitt
Emilio Koyama,https://breakingbad.fandom.com/wiki/Emilio_Koyama
Krazy-8,https://breakingbad.fandom.com/wiki/Krazy-8
Patrick Kuby,https://breakingbad.fandom.com/wiki/Patrick_Kuby
Lawson,https://breakingbad.fandom.com/wiki/Lawson
Lester,https://breakingbad.fandom.com/wiki/Lester
Francesca Liddy,https://breakingbad.fandom.com/wiki/Francesca_Liddy
Los Cuates de Sinaloa,https://breakingbad.fandom.com/wiki/Los_Cuates_de_Sinaloa
Lucy (Clerk),https://breakingbad.fandom.com/wiki/Lucy_(Clerk)
Lucy (Los Pollos Hermanos),https://breakingbad.fandom.com/wiki/Lucy_(Los_Pollos_Hermanos)
Lucy (Waitress),https://breakingbad.fandom.com/wiki/Lucy_(Waitress)
Luis,https://breakingbad.fandom.com/wiki/Luis
Jeff Maher,https://breakingbad.fandom.com/wiki/Jeff_Maher
Chris Mara,https://breakingbad.fandom.com/wiki/Chris_Mara
Margaret,https://breakingbad.fandom.com/wiki/Margaret
Donald Margolis,https://breakingbad.fandom.com/wiki/Donald_Margolis
Jane Margolis,https://breakingbad.fandom.com/wiki/Jane_Margolis
Mariano,https://breakingbad.fandom.com/wiki/Mariano
